City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,74.66,light rain,-22.9661,-42.0278,Pousada Porto Praia
2,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
3,Atuona,PF,78.26,few clouds,-9.8,-139.0333,Villa Enata
6,Salalah,OM,66.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
8,Port Elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
9,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
10,Rikitea,PF,77.41,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Bluff,NZ,71.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,Voh,NC,85.95,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
14,San Policarpo,PH,82.76,broken clouds,12.1791,125.5072,Agapita M. Nicart
15,Butaritari,KI,81.9,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Alugan,PH,82.76,broken clouds,12.2188,125.4808,JM Lodge
18,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
20,Eirunepe,BR,74.28,overcast clouds,-6.6603,-69.8736,Atrás de você
21,Alice Springs,AU,81.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
22,Mogadishu,SO,76.5,overcast clouds,2.0371,45.3438,Hotel Juba
24,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
25,New Norfolk,AU,86.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
30,Brownsville,US,66.9,scattered clouds,25.9018,-97.4975,University Inn & Suites
33,Pimenta Bueno,BR,70.9,light rain,-11.6725,-61.1936,Cristalina Palace Hotel
34,Aden,YE,77.05,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
36,Hualmay,PE,70.32,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
38,Saldanha,ZA,65.41,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
39,Busselton,AU,77.09,overcast clouds,-33.65,115.3333,Observatory Guest House
41,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
46,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
49,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Hermanus,ZA,72.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Trairi,BR,78.69,overcast clouds,-3.2778,-39.2689,janelas do mar
54,Mikumi,TZ,69.64,light rain,-7.4041,36.9831,Morio Motel and Campsite
57,Codrington,AU,79.59,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
59,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
67,Cabo San Lucas,MX,71.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Carnarvon,AU,86.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
70,Lorengau,PG,81.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Ponta Do Sol,PT,65.12,clear sky,32.6667,-17.1,Hotel do Campo
83,Agogo,GH,66.29,overcast clouds,6.8,-1.0819,Dollar Days Inn
85,Alofi,NU,73.62,moderate rain,-19.0595,-169.9187,Taloa Heights
87,Bengkulu,ID,79.86,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
90,Malanville,BJ,67.91,broken clouds,11.8685,3.3899,Hotel Sejour du Sahel
91,Bredasdorp,ZA,72.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
92,Hambantota,LK,79.16,few clouds,6.1241,81.1185,Bungalow 63
99,Mount Gambier,AU,86.0,clear sky,-37.8333,140.7667,The Commodore
100,Bandarbeyla,SO,74.95,light rain,9.4942,50.8122,JABIR HOTEL
101,Victor Harbor,AU,92.46,scattered clouds,-35.5667,138.6167,McCracken Country Club
102,Ariquemes,BR,71.17,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
106,San Vicente De Canete,PE,69.93,broken clouds,-13.0751,-76.3835,Hotel Konford
107,Vaini,TO,81.57,overcast clouds,-21.2,-175.2,Keleti Beach Resort
108,Coahuayana,MX,70.09,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
109,Kontagora,NG,69.46,broken clouds,10.3999,5.4695,Queens Guest Inn
110,Isangel,VU,78.55,overcast clouds,-19.55,169.2667,Tanna Lodge
112,Chuy,UY,69.62,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
113,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
