City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Olafsvik,IS,64.8945,-23.7142,27.19,55,100,23.47,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,74.66,96,100,8.48,light rain
2,Boa Vista,BR,2.8197,-60.6733,80.58,61,40,9.22,scattered clouds
3,Atuona,PF,-9.8,-139.0333,78.26,74,16,15.68,few clouds
4,Camacupa,AO,-12.0167,17.4833,60.8,91,100,1.61,overcast clouds
5,Guerrero Negro,MX,27.9769,-114.0611,60.44,68,54,10.49,broken clouds
6,Salalah,OM,17.0151,54.0924,66.29,63,0,3.44,clear sky
7,Yellowknife,CA,62.456,-114.3525,-8.59,83,75,10.36,light snow
8,Port Elizabeth,ZA,-33.918,25.5701,66.09,93,100,6.53,overcast clouds
9,Avarua,CK,-21.2078,-159.775,78.85,78,100,8.05,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,77.41,64,100,5.79,overcast clouds
11,Vostok,RU,46.4856,135.8833,1.56,83,19,4.14,few clouds
12,Bluff,NZ,-46.6,168.3333,71.8,83,93,2.62,overcast clouds
13,Voh,NC,-20.9667,164.7,85.95,62,100,6.73,overcast clouds
14,San Policarpo,PH,12.1791,125.5072,82.76,69,69,5.37,broken clouds
15,Butaritari,KI,3.0707,172.7902,81.9,76,67,19.73,light rain
16,Alugan,PH,12.2188,125.4808,82.76,69,67,5.19,broken clouds
17,Nantucket,US,41.2835,-70.0995,21.31,49,0,11.5,clear sky
18,East London,ZA,-33.0153,27.9116,72.54,88,0,8.05,clear sky
19,Ngorongoro,TZ,-3.2397,35.4875,53.6,96,100,1.79,light rain
20,Eirunepe,BR,-6.6603,-69.8736,74.28,82,100,1.1,overcast clouds
21,Alice Springs,AU,-23.7,133.8833,81.95,74,75,12.66,broken clouds
22,Mogadishu,SO,2.0371,45.3438,76.5,78,100,15.84,overcast clouds
23,Leningradskiy,RU,69.3833,178.4167,-15.56,94,85,4.83,overcast clouds
24,Saint-Georges,GD,12.0564,-61.7485,78.48,78,40,13.8,scattered clouds
25,New Norfolk,AU,-42.7826,147.0587,86.88,28,0,3.0,clear sky
26,Hofn,IS,64.2539,-15.2082,24.82,43,100,11.34,overcast clouds
27,Aksarka,RU,66.5606,67.7975,-13.36,100,99,3.27,overcast clouds
28,Nyagan,RU,62.1406,65.3936,-3.42,99,100,1.86,overcast clouds
29,Ponta Delgada,PT,37.7333,-25.6667,58.5,72,20,13.8,few clouds
30,Brownsville,US,25.9018,-97.4975,66.9,83,49,5.99,scattered clouds
