City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yining,CN,2022-01-30 22:19:07,29.0361,114.5636,38.25,86,100,1.07
1,Yellowknife,CA,2022-01-30 22:19:07,62.456,-114.3525,-6.59,81,75,8.05
2,Hermanus,ZA,2022-01-30 22:19:07,-34.4187,19.2345,71.91,86,97,12.95
3,Hilo,US,2022-01-30 22:16:51,19.7297,-155.09,77.79,58,40,8.05
4,Port Hardy,CA,2022-01-30 22:19:08,50.6996,-127.4199,43.75,93,100,6.91
5,Mataura,NZ,2022-01-30 22:19:09,-46.1927,168.8643,69.48,68,48,0.47
6,Aswan,EG,2022-01-30 22:19:09,24.0934,32.907,56.12,38,100,10.09
7,Ushuaia,AR,2022-01-30 22:19:10,-54.8,-68.3,46.06,66,75,29.93
8,Bandarbeyla,SO,2022-01-30 22:14:39,9.4942,50.8122,75.54,76,96,15.9
9,Lorengau,PG,2022-01-30 22:18:59,-2.0226,147.2712,78.69,86,100,11.9
10,Bluff,NZ,2022-01-30 22:19:11,-46.6,168.3333,69.8,85,93,4.43
11,Khorixas,NA,2022-01-30 22:19:11,-20.3667,14.9667,64.04,64,100,10.36
12,Niteroi,BR,2022-01-30 22:19:12,-22.8833,-43.1036,78.69,84,75,10.36
13,Rocky Mountain House,CA,2022-01-30 22:16:12,52.3668,-114.9188,47.95,48,75,4.61
14,Jamestown,US,2022-01-30 22:17:09,42.097,-79.2353,20.01,55,100,1.99
15,Albany,US,2022-01-30 22:19:13,42.6001,-73.9662,18.23,42,11,5.01
16,Camopi,GF,2022-01-30 22:19:13,3.1655,-52.3158,72.36,99,50,2.73
17,Bethel,US,2022-01-30 22:19:14,41.3712,-73.414,23.76,51,24,4.23
18,Talnakh,RU,2022-01-30 22:19:14,69.4865,88.3972,-14.67,96,86,8.9
19,Longyearbyen,SJ,2022-01-30 22:19:15,78.2186,15.6401,8.44,61,0,20.71
20,Vaini,TO,2022-01-30 22:14:16,-21.2,-175.2,80.15,77,100,12.71
21,Manzil Salim,TN,2022-01-30 22:19:16,35.8567,8.4765,39.2,54,0,2.39
22,Cape Town,ZA,2022-01-30 22:18:28,-33.9258,18.4232,73.81,77,0,3.0
23,Carnarvon,AU,2022-01-30 22:19:16,-24.8667,113.6333,78.87,73,57,14.97
24,Mar Del Plata,AR,2022-01-30 22:19:17,-38.0023,-57.5575,66.87,82,40,14.0
25,Tuatapere,NZ,2022-01-30 22:16:43,-46.1333,167.6833,69.82,68,17,2.59
26,Punta Arenas,CL,2022-01-30 22:19:11,-53.15,-70.9167,51.91,50,75,23.02
27,Bredasdorp,ZA,2022-01-30 22:19:18,-34.5322,20.0403,69.12,88,85,9.22
28,Malayal,PH,2022-01-30 22:19:18,7.208,121.942,77.11,85,36,3.53
29,Husavik,IS,2022-01-30 22:19:19,66.0449,-17.3389,24.71,67,40,27.76
30,Constitucion,CL,2022-01-30 22:15:37,-35.3333,-72.4167,65.75,67,5,19.95
31,Codrington,AU,2022-01-30 22:19:19,-38.2667,141.9667,67.01,88,54,6.4
32,Adrar,MR,2022-01-30 22:19:20,20.5022,-10.0711,75.31,13,100,10.11
33,Sitka,US,2022-01-30 22:19:20,57.0531,-135.33,37.29,81,100,5.75
34,Bambari,CF,2022-01-30 22:19:21,5.768,20.6757,77.61,20,12,4.74
35,Bathsheba,BB,2022-01-30 22:15:51,13.2167,-59.5167,79.41,69,40,13.8
36,Dongsheng,CN,2022-01-30 22:19:21,39.8161,109.9776,7.09,49,0,15.41
37,Venado Tuerto,AR,2022-01-30 22:19:22,-33.7456,-61.9688,86.77,32,0,5.28
38,Tromso,NO,2022-01-30 22:19:22,69.6496,18.957,23.02,74,75,14.97
39,Yulara,AU,2022-01-30 22:16:22,-25.2406,130.9889,73.24,94,100,11.5
40,Cherskiy,RU,2022-01-30 22:19:23,68.75,161.3,-27.58,99,98,1.05
41,Severo-Kurilsk,RU,2022-01-30 22:19:23,50.6789,156.125,27.75,95,100,11.05
42,Kruisfontein,ZA,2022-01-30 22:19:24,-34.0033,24.7314,67.89,96,80,5.3
43,Pierre,US,2022-01-30 22:18:15,44.3683,-100.351,44.28,42,0,3.44
44,Nelson Bay,AU,2022-01-30 22:16:05,-32.7167,152.15,80.1,82,80,1.01
45,Butaritari,KI,2022-01-30 22:19:25,3.0707,172.7902,82.04,76,17,20.92
46,Caconda,AO,2022-01-30 22:19:25,-13.7333,15.0667,59.52,89,100,9.24
47,Nhulunbuy,AU,2022-01-30 22:19:26,-12.2333,136.7667,83.01,89,40,10.36
48,Saldanha,ZA,2022-01-30 22:19:26,-33.0117,17.9442,65.32,92,87,8.72
49,Ust-Kuyga,RU,2022-01-30 22:20:27,70.0167,135.6,-34.42,99,98,4.94
50,Holetown,BB,2022-01-30 22:20:27,13.1867,-59.6381,79.36,73,40,15.37
51,Labuhan,ID,2022-01-30 22:19:36,-6.8844,112.2051,78.01,86,100,8.1
52,Mitchell,US,2022-01-30 22:20:28,43.7094,-98.0298,36.1,53,0,10.0
53,Ponta Do Sol,PT,2022-01-30 22:20:29,32.6667,-17.1,65.12,38,1,9.37
54,Saskylakh,RU,2022-01-30 22:17:51,71.9167,114.0833,-19.66,100,99,2.37
55,Seoul,KR,2022-01-30 22:18:12,37.5683,126.9778,20.64,79,0,2.3
56,Chokurdakh,RU,2022-01-30 22:20:04,70.6333,147.9167,-29.99,93,16,2.8
